rdpeng/ProgrammingAssignment2
ranand19/circuit-oneops-1
trinodb/trino
prestodb/presto
kdn251/interviews
TheAlgorithms/Java
prestodb/presto
qubole/rubix
tssovi/grokking-the-object-oriented-design-interview
donnemartin/system-design-primer
prestodb/presto-hadoop-apache2
TheTechGranth/thegranths
apache/hudi
open-metadata/OpenMetadata
facebookincubator/velox
apache/iceberg
