kmike/django-robokassa
pferate/meetup-api
cowrie/cowrie
gamozolabs/whylol
godotengine/godot
python/cpython
huggingface/diffusers
firecracker-microvm/firecracker
benoitc/gunicorn
flipperdevices/flipperzero_protobuf_py
tinygrad/tinygrad
ggerganov/llama.cpp
karpathy/nanoGPT
huggingface/transformers
Stability-AI/StableLM
karpathy/llama2.c
huggingface/datasets
