kovidgoyal/kitty
jorgebucaran/nvm.fish
jethrokuan/fzf
hashicorp/packer
bcpierce00/unison
hashicorp/terraform
Versent/saml2aws
eendroroy/alacritty-theme
janza/wl-clipboard-history
gopasspw/gopass
kubernetes/kubernetes
99designs/keyring
helm/helm
cantino/mcfly
nvim-lua/completion-nvim
twpayne/chezmoi
jbetancur/react-data-table-component
sbstp/kubie
golang-migrate/migrate
cairnapp/go-geobuf
nmanthena18/eslint-no-inline-styles
diegoholiveira/jsonlogic
gruntwork-io/terragrunt
yzzyx/zerr
turbot/steampipe
Songmu/ghch
VonHeikemen/lsp-zero.nvim
goreleaser/goreleaser
buildkite/lifecycled
tversteeg/registers.nvim
dylanaraps/neofetch
ShellWen/open-keychain-reborn
buildkite-plugins/aws-assume-role-with-web-identity-buildkite-plugin
mike-engel/jwt-cli
semantic-release/semantic-release
kalopilato/group_upload_dependencies
dineshba/tf-summarize
cli/cli
schuyler/levenshtein
buildkite-plugins/golang-cross-compile-buildkite-plugin
buildkite/agent
jdx/mise
derailed/k9s
buildkite/nodejs-docker-example
buildkite/rails-docker-parallel-example
nidnogg/zeitfetch
benmoss/go-buildkite
chmln/handlr
GuillaumeGomez/sysinfo
mason-org/mason-registry
Khan/genqlient
buildkite-plugins/aws-ssm-buildkite-plugin
buildkite-plugins/docker-compose-buildkite-plugin
jthegedus/asdf-gcloud
lotabout/rargs
atuinsh/atuin
polyfloyd/go-errorlint
gotestyourself/gotest.tools
tummychow/git-absorb
koalaman/shellcheck
Morganamilo/paru
Morganamilo/srcinfo.rs
joehillen/paruz
valpackett/krita-wayland
lapce/lapce
chentoast/marks.nvim
GeorgeHoneywood/alta-typst
casey/just
golangci/golangci-lint
elliotchance/orderedmap
kelseyhightower/nocode
