kabegeo/oc_car
RoffelKartoffel/cmanager
tk0miya/tk.phpautodoc
noveogroup/android-check
jwilk/didjvu
abbot/geocaching-py
jwilk-archive/python-djvulibre
jwilk-archive/ocrodjvu
jwilk-archive/pdf2djvu
hsnr-gamera/gamera-4
pklaus/brother_ql_web
nschloe/tikzplotlib
vext-python/vext
GourmandRecipeManager/gourmand
