davisking/dlib
lvella/dlib-rnn
swapagarwal/JARVIS-on-Messenger
deepgram/kur
SeanNaren/warp-ctc
ncullen93/torchsample
arrayfire/arrayfire
jingweiz/pytorch-dnc
apache/tvm
codeaudit/Dali
apache/mxnet
isocpp/CppCoreGuidelines
pytorch/glow
Homebrew/homebrew-core
peteflorence/nanomap_ros
google/swift-jupyter
llvm/llvm-project
